Date,Time,Soc,Speed,Mode,Lat,Lon,Alt,GpsSpeed,ExactSpeed,Odometer,Traffic,Temperature,Humidity,Weather,WindSpeed,WindDirection,Pressure,SpeedLimit,Id,Data,,,,,,,
6/7/2021,15:36:20,77.26,0.11,N,33.953671,-6.8514352,86,0.05556,0,2292.54,LOW,26.1,59,Clouds,3.62,317,1013,60,0x5D7,0x00,0x00,0x00,0x37,0xF8,0x60,0x00,
6/7/2021,15:36:20,77.26,0.11,N,33.953671,-6.8514352,86,0.05556,0,2292.54,LOW,26.1,59,Clouds,3.62,317,1013,60,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
6/7/2021,15:36:20,77.26,0.11,N,33.953671,-6.8514352,86,0.05556,0,2292.54,LOW,26.1,59,Clouds,3.62,317,1013,60,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
6/7/2021,15:36:20,77.26,0.11,N,33.953671,-6.8514352,86,0.05556,0,2292.54,LOW,26.1,59,Clouds,3.62,317,1013,60,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
6/7/2021,15:36:20,77.26,0.11,N,33.953671,-6.8514352,86,0.05556,0,2292.54,LOW,26.1,59,Clouds,3.62,317,1013,60,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
6/7/2021,15:36:20,77.26,0.11,N,33.953671,-6.8514352,86,0.05556,0,2292.54,LOW,26.1,59,Clouds,3.62,317,1013,60,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
6/7/2021,15:36:20,77.26,0.11,N,33.953671,-6.8514352,86,0.05556,0,2292.54,LOW,26.1,59,Clouds,3.62,317,1013,60,0x5D7,0x00,0x00,0x00,0x37,0xF8,0x60,0x00,
6/7/2021,15:36:20,77.26,0.11,N,33.953671,-6.8514352,86,0.05556,0,2292.54,LOW,26.1,59,Clouds,3.62,317,1013,60,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
6/7/2021,15:36:20,77.26,0.11,N,33.953671,-6.8514352,86,0.05556,0,2292.54,LOW,26.1,59,Clouds,3.62,317,1013,60,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
6/7/2021,15:36:20,77.26,0.11,N,33.953671,-6.8514352,86,0.05556,0,2292.54,LOW,26.1,59,Clouds,3.62,317,1013,60,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
6/7/2021,15:36:20,77.26,0.11,N,33.953671,-6.8514352,86,0.05556,0,2292.54,LOW,26.1,59,Clouds,3.62,317,1013,60,0x155,0x07,0x97,0xC7,0x54,0x78,0xB8,0x00,0x71
6/7/2021,15:36:20,77.26,0.11,N,33.953671,-6.8514352,86,0.05556,0,2292.54,LOW,26.1,59,Clouds,3.62,317,1013,60,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
6/7/2021,15:36:20,77.26,0.11,N,33.953671,-6.8514352,86,0.05556,0,2292.54,LOW,26.1,59,Clouds,3.62,317,1013,60,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
6/7/2021,15:36:20,77.26,0.11,N,33.953671,-6.8514352,86,0.05556,0,2292.54,LOW,26.1,59,Clouds,3.62,317,1013,60,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
6/7/2021,15:36:20,77.26,0.11,N,33.953671,-6.8514352,86,0.05556,0,2292.54,LOW,26.1,59,Clouds,3.62,317,1013,60,0x155,0x07,0x97,0xC7,0x54,0x78,0xB8,0x00,0x70
6/7/2021,15:36:20,77.26,0.11,N,33.953671,-6.8514352,86,0.05556,0,2292.54,LOW,26.1,59,Clouds,3.62,317,1013,60,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
6/7/2021,15:36:20,77.26,0.11,N,33.953671,-6.8514352,86,0.05556,0,2292.54,LOW,26.1,59,Clouds,3.62,317,1013,60,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
6/7/2021,15:36:20,77.26,0.11,N,33.953671,-6.8514352,86,0.05556,0,2292.54,LOW,26.1,59,Clouds,3.62,317,1013,60,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
6/7/2021,15:36:20,77.26,0,N,33.953671,-6.8514352,86,0.05556,0,2292.54,LOW,26.1,59,Clouds,3.62,317,1013,60,0x599,0x00,0x00,0x08,0xF4,0xFF,0x34,0x00,0x00
6/7/2021,15:36:20,77.26,0,N,33.953671,-6.8514352,86,0.05556,0,2292.54,LOW,26.1,59,Clouds,3.62,317,1013,60,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
6/7/2021,15:36:20,77.26,0,N,33.953671,-6.8514352,86,0.05556,0,2292.54,LOW,26.1,59,Clouds,3.62,317,1013,60,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
6/7/2021,15:36:20,77.26,0,N,33.953671,-6.8514352,86,0.05556,0,2292.54,LOW,26.1,59,Clouds,3.62,317,1013,60,0x155,0x07,0x97,0xC7,0x54,0x78,0xB8,0x00,0x70
6/7/2021,15:36:20,77.26,0,N,33.953671,-6.8514352,86,0.05556,0,2292.54,LOW,26.1,59,Clouds,3.62,317,1013,60,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
6/7/2021,15:36:20,77.26,0,N,33.953671,-6.8514352,86,0.05556,0,2292.54,LOW,26.1,59,Clouds,3.62,317,1013,60,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
6/7/2021,15:36:20,77.26,0,N,33.953671,-6.8514352,86,0.05556,0,2292.54,LOW,26.1,59,Clouds,3.62,317,1013,60,0x436,0x00,0x00,0x4A,0xBC,0x00,0x00,,
6/7/2021,15:36:20,77.26,0,N,33.953671,-6.8514352,86,0.05556,0,2292.54,LOW,26.1,59,Clouds,3.62,317,1013,60,0x155,0x07,0x97,0xC7,0x54,0x78,0xB8,0x00,0x71
6/7/2021,15:36:20,77.26,0,N,33.953671,-6.8514352,86,0.05556,0,2292.54,LOW,26.1,59,Clouds,3.62,317,1013,60,0x155,0x07,0x97,0xC7,0x54,0x78,0xB8,0x00,0x71
6/7/2021,15:36:20,77.26,0,N,33.953671,-6.8514352,86,0.05556,0,2292.54,LOW,26.1,59,Clouds,3.62,317,1013,60,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
6/7/2021,15:36:20,77.26,0,N,33.953671,-6.8514352,86,0.05556,0,2292.54,LOW,26.1,59,Clouds,3.62,317,1013,60,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
6/7/2021,15:36:20,77.26,0,N,33.953671,-6.8514352,86,0.05556,0,2292.54,LOW,26.1,59,Clouds,3.62,317,1013,60,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
6/7/2021,15:36:20,77.26,0,N,33.953671,-6.8514352,86,0.05556,0,2292.54,LOW,26.1,59,Clouds,3.62,317,1013,60,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
6/7/2021,15:36:20,77.26,0,N,33.953671,-6.8514352,86,0.05556,0,2292.54,LOW,26.1,59,Clouds,3.62,317,1013,60,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
6/7/2021,15:36:20,77.26,0,N,33.953671,-6.8514352,86,0.05556,0,2292.54,LOW,26.1,59,Clouds,3.62,317,1013,60,0x155,0x07,0x97,0xC7,0x54,0x78,0xB8,0x00,0x71
6/7/2021,15:36:20,77.26,0,N,33.953671,-6.8514352,86,0.05556,0,2292.54,LOW,26.1,59,Clouds,3.62,317,1013,60,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
6/7/2021,15:36:20,77.26,0,N,33.953671,-6.8514352,86,0.05556,0,2292.54,LOW,26.1,59,Clouds,3.62,317,1013,60,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
6/7/2021,15:36:20,77.26,0,N,33.953671,-6.8514352,86,0.05556,0,2292.54,LOW,26.1,59,Clouds,3.62,317,1013,60,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
6/7/2021,15:36:20,77.26,0,N,33.953671,-6.8514352,86,0.05556,0,2292.54,LOW,26.1,59,Clouds,3.62,317,1013,60,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
6/7/2021,15:36:20,77.26,0,N,33.953671,-6.8514352,86,0.05556,0,2292.54,LOW,26.1,59,Clouds,3.62,317,1013,60,0x19F,0xFF,0xFF,0x7D,0x0F,0x38,0xFF,0x40,0xFE
