trip_id,alt_min_m,alt_max_m,n_unique_alt,max_abs_step_m,n_abs_step_gt_5m
T1_03_29_2021,0.0,159.0,114,17.0,47
T1_06_30_2021_1,-111.0,147.0,97,245.0,38
T1_06_30_2021_2,-111.0,159.0,104,160.0,45
T1_07_01_2021,-1.0,144.0,103,28.0,38
T2_03_29_2021,-3.0,159.0,120,64.0,86
T2_03_30_2021,2.0,166.0,102,75.0,65
T2_04_26_2021,0.0,147.0,103,36.0,48
T3_04_22_2021_1,8.0,151.0,33,37.0,19
T3_04_22_2021_2,8.0,144.0,29,45.0,11
T3_04_26_2021_1,5.0,143.0,34,29.0,14
T3_04_26_2021_2,10.0,142.0,30,64.0,10
T3_05_25_2021_04,-111.0,143.0,47,200.0,28
T3_05_25_2021_1,7.0,164.0,30,40.0,20
T3_05_25_2021_2,8.0,148.0,36,44.0,14
T3_05_25_2021_3,4.0,143.0,28,46.0,8
T3_05_31_2021,7.0,140.0,28,41.0,13
T3_06_07_2021,6.0,147.0,37,52.0,14
