trip_id,trajectory,e_physics_kwh,e_obs_kwh,e_residual_kwh,mean_p_batt_kw,min_p_batt_kw,max_p_batt_kw,regen_fraction,n_power_bounds
T1_03_29_2021,T1,2.871975268094043,4.3524,-1.4804247319059574,1.6702716052897975,-9.042232791486164,28.591745477844444,0.24042656325739215,0
T1_06_30_2021_1,T1,2.753227787393527,3.8184000000000005,-1.0651722126064733,1.892309736618987,-9.651887375254976,24.179863467317894,0.20942307692307693,0
T1_06_30_2021_2,T1,2.471605535958361,3.6215999999999995,-1.1499944640416384,1.5074044704609102,-5.781631236545841,17.29936462467394,0.22903608334745046,0
T1_07_01_2021,T1,2.2181726563141986,3.3528,-1.1346273436858012,1.7612936019944698,-8.024998342234476,18.379322648940505,0.23638368246968025,0
T2_03_29_2021,T2,3.6275427119476333,4.734,-1.1064572880523666,1.5141755955307223,-6.652426959036858,34.16515753460853,0.2229785236474592,0
T2_03_30_2021,T2,3.237291999386653,4.2384,-1.0011080006133475,1.6816617556182651,-5.206749065189528,23.279955034779448,0.25262085032032616,0
T2_04_26_2021,T2,2.6992769299991366,3.894,-1.1947230700008635,1.6609318736666796,-4.341550288821152,17.631743136869318,0.24143835616438356,0
T3_04_22_2021_1,T3,0.8671254750330046,1.1243999999999996,-0.257274524966995,2.976026415747204,-3.5063595497630002,11.491131085833679,0.14299332697807435,0
T3_04_22_2021_2,T3,1.130190430330537,1.7783999999999998,-0.6482095696694627,3.7057245438888278,-4.092868380565699,22.7394267536676,0.1575591985428051,0
T3_04_26_2021_1,T3,0.8865242264684328,1.4676000000000005,-0.5810757735315677,3.095361127659414,-3.256630586218832,9.188181917333685,0.12403100775193798,0
T3_04_26_2021_2,T3,1.1209338597467944,1.5179999999999998,-0.3970661402532054,3.9066426864360695,-5.465015420286526,24.164136505845452,0.1132623426911907,0
T3_05_25_2021_04,T3,2.314616466229739,2.9507999999999996,-0.6361835337702608,3.3106155257954155,-6.92323295834632,16.19363166658437,0.10091378625347636,0
T3_05_25_2021_1,T3,0.9020556227276204,1.4280000000000002,-0.5259443772723797,3.379396713651856,-5.59326389043668,12.201047155809793,0.15192507804370448,0
T3_05_25_2021_2,T3,1.102647741073931,1.6536000000000002,-0.5509522589260691,3.541241630567486,-4.725315657126791,16.416081130041647,0.15611061552185548,0
T3_05_25_2021_3,T3,1.0105396473173667,1.4436000000000002,-0.43306035268263354,3.817568447368857,-4.161909829490542,23.70629880449621,0.14375655823714587,0
T3_05_31_2021,T3,1.1407309491245115,1.8744,-0.7336690508754886,3.6605013135588167,-2.510567314338908,19.693664142907068,0.11675579322638147,0
T3_06_07_2021,T3,1.4375299808015236,1.7940000000000003,-0.35647001919847665,3.038935954718429,-5.086797782116288,18.7370569909387,0.16793893129770993,0
