trip_id,trajectory,q,q_mode,q_gcd,n_unique,n_transitions,n_increases,n_decreases,n_zero_steps,min,max,start,end
T1_03_29_2021,T1,0.02,0.02,0.02,2589,3050,293,2757,3138,15.0,87.54,87.54,15.0
T1_06_30_2021_1,T1,0.02,0.02,0.02,2354,2789,253,2536,2410,32.42,96.06,96.06,32.42
T1_06_30_2021_2,T1,0.02,0.02,0.02,2549,2946,221,2725,2956,33.06,93.42,93.42,33.06
T1_07_01_2021,T1,0.02,0.02,0.02,1909,2336,264,2072,2198,39.64,95.52,95.52,39.64
T2_03_29_2021,T2,0.02,0.02,0.02,2775,3606,513,3093,4914,18.8,97.7,97.7,18.8
T2_03_30_2021,T2,0.02,0.02,0.02,2545,3187,406,2781,3680,24.5,95.2,95.14,24.5
T2_04_26_2021,T2,0.02,0.02,0.02,2372,2888,301,2587,2951,33.36,98.26,98.26,33.36
T3_04_22_2021_1,T3,0.02,0.02,0.02,646,665,11,654,383,79.0,97.74,97.74,79.0
T3_04_22_2021_2,T3,0.04,0.04,0.02,785,800,8,792,297,49.24,78.88,78.88,49.24
T3_04_26_2021_1,T3,0.02,0.02,0.02,745,752,4,748,279,71.66,96.12,96.12,71.66
T3_04_26_2021_2,T3,0.02,0.02,0.02,757,776,10,766,256,44.34,69.64,69.64,44.34
T3_05_25_2021_04,T3,0.02,0.02,0.02,1582,1645,37,1608,871,0.02,62.58,62.58,13.4
T3_05_25_2021_1,T3,0.02,0.02,0.02,671,695,13,682,265,32.4,56.2,56.2,32.4
T3_05_25_2021_2,T3,0.02,0.02,0.02,791,810,13,797,310,34.18,61.74,61.74,34.18
T3_05_25_2021_3,T3,0.02,0.02,0.02,633,677,26,651,275,38.48,62.54,62.54,38.48
T3_05_31_2021,T3,0.02,0.02,0.02,807,824,11,813,297,23.36,54.6,54.6,23.36
T3_06_07_2021,T3,0.02,0.02,0.02,828,987,93,894,715,47.36,77.4,77.26,47.36
