trip_id,n_duplicate_timestamps,n_gaps_gt_2s,dt_median_s,dt_min_s,dt_max_s
T1_03_29_2021,10,1,1.0,0.0,11.0
T1_06_30_2021_1,34,2,1.0,0.0,20.0
T1_06_30_2021_2,0,0,1.0,1.0,1.0
T1_07_01_2021,0,0,1.0,1.0,1.0
T2_03_29_2021,57,3,1.0,0.0,26.0
T2_03_30_2021,56,2,1.0,0.0,31.0
T2_04_26_2021,13,1,1.0,0.0,14.0
T3_04_22_2021_1,0,0,1.0,1.0,1.0
T3_04_22_2021_2,0,0,1.0,1.0,1.0
T3_04_26_2021_1,0,0,1.0,1.0,1.0
T3_04_26_2021_2,0,0,1.0,1.0,1.0
T3_05_25_2021_04,0,0,1.0,1.0,1.0
T3_05_25_2021_1,0,0,1.0,1.0,1.0
T3_05_25_2021_2,0,0,1.0,1.0,1.0
T3_05_25_2021_3,0,0,1.0,1.0,1.0
T3_05_31_2021,0,0,1.0,1.0,1.0
T3_06_07_2021,0,0,1.0,1.0,1.0
