trip_id,trajectory,n_rows,duration_s,distance_can_km,distance_gps_speed_km,distance_haversine_km,soc_start,soc_end,soc_depletion_pp,e_obs_kwh
T1_03_29_2021,T1,6189,6198.0,49.61069722222272,50.23569798638895,51.44698148420164,87.54,15.0,72.54,4.3524
T1_06_30_2021_1,T1,5200,5233.0,45.64408055555533,45.52700589375095,45.8477390285066,96.06,32.42,63.64,3.8184000000000005
T1_06_30_2021_2,T1,5903,5902.0,44.347602777777496,44.545620763334256,46.38886752866634,93.42,33.06,60.36,3.6215999999999995
T1_07_01_2021,T1,4535,4534.0,37.8237152777776,38.89154725180516,39.381698983014985,95.52,39.64,55.879999999999995,3.3528
T2_03_29_2021,T2,8521,8577.0,59.56506111111094,60.53027118972312,60.95656057469581,97.7,18.8,78.9,4.734
T2_03_30_2021,T2,6868,6923.0,53.31752638888871,51.36129242902813,55.13560256938924,95.14,24.5,70.64,4.2384
T2_04_26_2021,T2,5840,5852.0,47.0322861111105,47.210756877638886,49.84052833956904,98.26,33.36,64.9,3.894
T3_04_22_2021_1,T3,1049,1048.0,14.147080555555583,13.655014503611051,14.613056806627046,97.74,79.0,18.739999999999995,1.1243999999999996
T3_04_22_2021_2,T3,1098,1097.0,15.478416666666723,15.139834946944493,16.247687325215338,78.88,49.24,29.639999999999993,1.7783999999999998
T3_04_26_2021_1,T3,1032,1031.0,14.34297083333336,14.268528223055478,14.626188354128512,96.12,71.66,24.460000000000008,1.4676000000000005
T3_04_26_2021_2,T3,1033,1032.0,15.6523166666667,16.570520503611053,16.280416847877323,69.64,44.34,25.299999999999997,1.5179999999999998
T3_05_25_2021_04,T3,2517,2516.0,32.99230555555521,33.452987107777695,30.32141707349136,62.58,13.4,49.18,2.9507999999999996
T3_05_25_2021_1,T3,961,960.0,13.831272222222232,14.231724872499992,14.703941701912798,56.2,32.4,23.800000000000004,1.4280000000000002
T3_05_25_2021_2,T3,1121,1120.0,15.56210000000004,15.33175105430544,16.383622294376078,61.74,34.18,27.560000000000002,1.6536000000000002
T3_05_25_2021_3,T3,953,952.0,14.200330555555553,13.786231458055564,14.595291780702059,62.54,38.48,24.060000000000002,1.4436000000000002
T3_05_31_2021,T3,1122,1121.0,15.702598611111052,15.771593347361142,16.29120643692845,54.6,23.36,31.240000000000002,1.8744
T3_06_07_2021,T3,1703,1702.0,19.71838055555558,19.98450230458323,20.510691435080403,77.26,47.36,29.900000000000006,1.7940000000000003
