trip_id,trajectory,kind,path,n_rows,n_columns,columns,soc_min,soc_max,soc_start,soc_end,n_soc_increases,n_soc_decreases
T1_03_29_2021,T1,analysed,C:\Users\AYOUB\OneDrive - EMSI\Bureau\PHD_WORK\PINN_ev_energy\HELECAR-D\data\Analysed\T1\T1_03_29_2021.csv,6189,30,"Date,Time,Soc,Speed,Mode,LAT,LON,ALT,GpsSpeed,Temperature,Humidity,Weather,WindSpeedAv,Traffic,SpeedLimit,date,time,soc,speed_kmh,mode,lat,lon,alt_m,gps_speed_kmh,temperature_c,humidity_pct,weather,wind_speed_mps,traffic,speed_limit_kmh",15.0,87.54,87.54,15.0,293,2757
T1_06_30_2021_1,T1,analysed,C:\Users\AYOUB\OneDrive - EMSI\Bureau\PHD_WORK\PINN_ev_energy\HELECAR-D\data\Analysed\T1\T1_06_30_2021_1.csv,5200,30,"Date,Time,Soc,Speed,Mode,LAT,LON,ALT,GpsSpeed,Temperature,Humidity,Weather,WindSpeedAv,Traffic,SpeedLimit,date,time,soc,speed_kmh,mode,lat,lon,alt_m,gps_speed_kmh,temperature_c,humidity_pct,weather,wind_speed_mps,traffic,speed_limit_kmh",32.42,96.06,96.06,32.42,253,2536
T1_06_30_2021_2,T1,analysed,C:\Users\AYOUB\OneDrive - EMSI\Bureau\PHD_WORK\PINN_ev_energy\HELECAR-D\data\Analysed\T1\T1_06_30_2021_2.csv,5903,30,"Date,Time,Soc,Speed,Mode,LAT,LON,ALT,GpsSpeed,Temperature,Humidity,Weather,WindSpeedAv,Traffic,SpeedLimit,date,time,soc,speed_kmh,mode,lat,lon,alt_m,gps_speed_kmh,temperature_c,humidity_pct,weather,wind_speed_mps,traffic,speed_limit_kmh",33.06,93.42,93.42,33.06,221,2725
T1_07_01_2021,T1,analysed,C:\Users\AYOUB\OneDrive - EMSI\Bureau\PHD_WORK\PINN_ev_energy\HELECAR-D\data\Analysed\T1\T1_07_01_2021.csv,4535,30,"Date,Time,Soc,Speed,Mode,LAT,LON,ALT,GpsSpeed,Temperature,Humidity,Weather,WindSpeedAv,Traffic,SpeedLimit,date,time,soc,speed_kmh,mode,lat,lon,alt_m,gps_speed_kmh,temperature_c,humidity_pct,weather,wind_speed_mps,traffic,speed_limit_kmh",39.64,95.52,95.52,39.64,264,2072
T2_03_29_2021,T2,analysed,C:\Users\AYOUB\OneDrive - EMSI\Bureau\PHD_WORK\PINN_ev_energy\HELECAR-D\data\Analysed\T2\T2_03_29_2021.csv,8521,30,"Date,Time,Soc,Speed,Mode,LAT,LON,ALT,GpsSpeed,Temperature,Humidity,Weather,WindSpeedAv,Traffic,SpeedLimit,date,time,soc,speed_kmh,mode,lat,lon,alt_m,gps_speed_kmh,temperature_c,humidity_pct,weather,wind_speed_mps,traffic,speed_limit_kmh",18.8,97.7,97.7,18.8,513,3093
T2_03_30_2021,T2,analysed,C:\Users\AYOUB\OneDrive - EMSI\Bureau\PHD_WORK\PINN_ev_energy\HELECAR-D\data\Analysed\T2\T2_03_30_2021.csv,6868,30,"Date,Time,Soc,Speed,Mode,LAT,LON,ALT,GpsSpeed,Temperature,Humidity,Weather,WindSpeedAv,Traffic,SpeedLimit,date,time,soc,speed_kmh,mode,lat,lon,alt_m,gps_speed_kmh,temperature_c,humidity_pct,weather,wind_speed_mps,traffic,speed_limit_kmh",24.5,95.2,95.14,24.5,406,2781
T2_04_26_2021,T2,analysed,C:\Users\AYOUB\OneDrive - EMSI\Bureau\PHD_WORK\PINN_ev_energy\HELECAR-D\data\Analysed\T2\T2_04_26_2021.csv,5840,30,"Date,Time,Soc,Speed,Mode,LAT,LON,ALT,GpsSpeed,Temperature,Humidity,Weather,WindSpeedAv,Traffic,SpeedLimit,date,time,soc,speed_kmh,mode,lat,lon,alt_m,gps_speed_kmh,temperature_c,humidity_pct,weather,wind_speed_mps,traffic,speed_limit_kmh",33.36,98.26,98.26,33.36,301,2587
T3_04_22_2021_1,T3,analysed,C:\Users\AYOUB\OneDrive - EMSI\Bureau\PHD_WORK\PINN_ev_energy\HELECAR-D\data\Analysed\T3\T3_04_22_2021_1.csv,1049,30,"Date,Time,Soc,Speed,Mode,LAT,LON,ALT,GpsSpeed,Temperature,Humidity,Weather,WindSpeedAv,Traffic,SpeedLimit,date,time,soc,speed_kmh,mode,lat,lon,alt_m,gps_speed_kmh,temperature_c,humidity_pct,weather,wind_speed_mps,traffic,speed_limit_kmh",79.0,97.74,97.74,79.0,11,654
T3_04_22_2021_2,T3,analysed,C:\Users\AYOUB\OneDrive - EMSI\Bureau\PHD_WORK\PINN_ev_energy\HELECAR-D\data\Analysed\T3\T3_04_22_2021_2.csv,1098,30,"Date,Time,Soc,Speed,Mode,LAT,LON,ALT,GpsSpeed,Temperature,Humidity,Weather,WindSpeedAv,Traffic,SpeedLimit,date,time,soc,speed_kmh,mode,lat,lon,alt_m,gps_speed_kmh,temperature_c,humidity_pct,weather,wind_speed_mps,traffic,speed_limit_kmh",49.24,78.88,78.88,49.24,8,792
T3_04_26_2021_1,T3,analysed,C:\Users\AYOUB\OneDrive - EMSI\Bureau\PHD_WORK\PINN_ev_energy\HELECAR-D\data\Analysed\T3\T3_04_26_2021_1.csv,1032,30,"Date,Time,Soc,Speed,Mode,LAT,LON,ALT,GpsSpeed,Temperature,Humidity,Weather,WindSpeedAv,Traffic,SpeedLimit,date,time,soc,speed_kmh,mode,lat,lon,alt_m,gps_speed_kmh,temperature_c,humidity_pct,weather,wind_speed_mps,traffic,speed_limit_kmh",71.66,96.12,96.12,71.66,4,748
