trip_id,full_trip,soc_event_0.1,soc_event_0.2,soc_event_0.5,time_120s,time_300s,time_600s,time_60s
T1_03_29_2021,1,1777,1777,1771,102,40,19,196
T1_06_30_2021_1,1,1654,1654,1647,85,33,16,169
T1_06_30_2021_2,1,1543,1543,1535,96,38,18,189
T1_07_01_2021,1,1378,1378,1378,73,29,14,148
T2_03_29_2021,1,2096,2096,2093,137,56,27,240
T2_03_30_2021,1,1865,1865,1865,113,45,22,211
T2_04_26_2021,1,1744,1744,1744,95,37,18,179
T3_04_22_2021_1,1,350,350,350,16,5,2,31
T3_04_22_2021_2,1,607,607,606,17,6,2,35
T3_04_26_2021_1,1,483,483,483,16,5,2,33
T3_04_26_2021_2,1,568,568,562,16,5,2,33
T3_05_25_2021_04,1,1067,1067,1067,40,15,7,82
T3_05_25_2021_1,1,548,548,548,15,5,2,30
T3_05_25_2021_2,1,640,640,638,17,6,2,36
T3_05_25_2021_3,1,544,544,544,14,5,2,30
T3_05_31_2021,1,605,605,605,17,6,2,36
T3_06_07_2021,1,723,719,706,26,10,4,52
