feature,unit,n,n_unique,min,max,mean,std,missing_fraction
speed_mps,m/s,55645,386,0.0,23.247222222222224,9.117402631762863,6.223055887196202,0.0
acc_mps2,,55645,41561,-3.036137011137019,3.085483035483045,0.0005326705996067708,0.43134000360034996,0.0
theta_rad,,55645,25314,-0.19739555984988078,0.19739555984988078,0.0026393393051408337,0.03693567711986591,0.0
temperature_c,deg_C,55645,84,17.2,27.6,22.462711833947345,2.6965081295644584,0.0
humidity_pct,%,55645,38,32.0,94.0,60.19838260400755,15.561471214758788,0.0
wind_speed_mps,m/s,55645,57,0.0,7.72,3.1841563482792705,1.5574737080125967,0.0
traffic,ordinal_0_1_2,55645,3,0.0,2.0,0.3964237577500225,0.5593901973557414,0.0
speed_limit_mps,m/s,55645,4,5.555555555555555,22.22222222222222,16.9195595091902,2.766016377786201,0.0
elapsed_s,s,55645,8568,0.0,8577.0,2643.47641297511,2051.911369314607,0.0
cumulative_distance_km,km,55645,48634,0.0,59.56506111111094,20.863650503713952,14.111277064136164,0.0
