method,seed,n,mae_kwh,rmse_kwh,mape_pct,wape_pct,bias_kwh,r2
constant,0,17,0.2487540038620709,0.30565457249998124,10.820771053845338,9.38811054349754,0.008868396746081263,0.9370946320638351
constant,1,17,0.2487540038620709,0.30565457249998124,10.820771053845338,9.38811054349754,0.008868396746081263,0.9370946320638351
constant,2,17,0.2487540038620709,0.30565457249998124,10.820771053845338,9.38811054349754,0.008868396746081263,0.9370946320638351
elasticnet,0,17,0.1672998744640975,0.20995682626722212,8.72460721211806,6.313987678578597,-0.006347479833568446,0.9703184954604149
elasticnet,1,17,0.1672998744640975,0.20995682626722212,8.72460721211806,6.313987678578597,-0.006347479833568446,0.9703184954604149
elasticnet,2,17,0.1672998744640975,0.20995682626722212,8.72460721211806,6.313987678578597,-0.006347479833568446,0.9703184954604149
mlp_state,0,17,0.3422125583011342,0.5234550410516613,14.062474646130735,12.915286897193173,0.07882964561827033,0.8155049638829812
mlp_state,1,17,0.4071725806766866,0.5113646952005271,14.442478183997073,15.366913248935878,0.21791491379200245,0.8239291769009883
mlp_state,2,17,0.3671606271096304,0.4204173952346688,14.428635729183222,13.85684049707337,0.12405402328118773,0.880988955441173
physics,0,17,0.7795536889442934,0.8543796534781759,30.057554577004957,29.420777526291815,-0.7795536889442934,0.5084952634282234
physics,1,17,0.7795536889442934,0.8543796534781759,30.057554577004957,29.420777526291815,-0.7795536889442934,0.5084952634282234
physics,2,17,0.7795536889442934,0.8543796534781759,30.057554577004957,29.420777526291815,-0.7795536889442934,0.5084952634282234
pinn,0,17,0.3499291019742756,0.4573308150035097,12.960091815610475,13.206513425781422,-0.06266058011332257,0.8591727031798417
pinn,1,17,0.27436729854066966,0.3356610807970338,10.925920014339532,10.354770127233095,-0.05356160167323403,0.924137370827749
pinn,2,17,0.26044649465950753,0.3101480777209993,10.657574983592417,9.829391465335597,-0.03940235874831952,0.9352314610588928
pinn_fulltrip,0,17,0.26192457105704015,0.3115936249885572,11.06536222877372,9.885174867396797,-0.09030086277031707,0.9346263038543186
pinn_fulltrip,1,17,0.25383621069613505,0.3241085408347644,10.43037797292065,9.57991577606605,-0.11956943298297658,0.9292694778846277
pinn_fulltrip,2,17,0.21259255647693137,0.2636259950683734,9.242405569508641,8.023357975925606,-0.08575003775171704,0.9532046848164354
pinn_no_dynamics,0,17,0.2811296502087107,0.3331580730932111,11.944715313663151,10.609984933860996,-0.06524035434887136,0.9252645599813447
pinn_no_dynamics,1,17,0.22586662997928408,0.2623099973553201,10.197464266743497,8.524328683804935,-0.03202181621002938,0.9536707148866038
pinn_no_dynamics,2,17,0.32598032384012743,0.42959337128875114,12.663832869879164,12.302673596012305,0.02739868646554303,0.8757372227719112
weak_mlp,0,17,0.44484997875861876,0.5799315963640282,15.50316392376605,16.78887861509204,0.1407210066374611,0.7735462823725087
weak_mlp,1,17,0.4892457623412407,0.6695232304148598,16.287818248310018,18.464399480958992,0.22353432767585985,0.6981736072420954
weak_mlp,2,17,0.49132989251286385,0.6346555726712912,17.2146170541573,18.543055679992822,0.20865575497306246,0.7287922421535827
