trip_id,trajectory,method,reserve_soc_pct,predicted_energy_kwh,observed_energy_kwh,soc_start,energy_budget_kwh,model_feasible,observed_feasible,false_safe,overly_conservative
T1_03_29_2021,T1,constant,5.0,4.394738517768239,4.3524,87.54,4.9524,True,True,False,False
T1_03_29_2021,T1,constant,10.0,4.394738517768239,4.3524,87.54,4.6524,True,True,False,False
T1_03_29_2021,T1,constant,15.0,4.394738517768239,4.3524,87.54,4.3524,False,True,False,True
T1_03_29_2021,T1,constant,20.0,4.394738517768239,4.3524,87.54,4.0524000000000004,False,False,False,False
T1_06_30_2021_1,T1,constant,5.0,4.061348386832505,3.818400000000001,96.06,5.4636000000000005,True,True,False,False
T1_06_30_2021_1,T1,constant,10.0,4.061348386832505,3.818400000000001,96.06,5.1636,True,True,False,False
T1_06_30_2021_1,T1,constant,15.0,4.061348386832505,3.818400000000001,96.06,4.8636,True,True,False,False
T1_06_30_2021_1,T1,constant,20.0,4.061348386832505,3.818400000000001,96.06,4.5636,True,True,False,False
T1_06_30_2021_2,T1,constant,5.0,3.9537630266595194,3.6215999999999995,93.42,5.3052,True,True,False,False
T1_06_30_2021_2,T1,constant,10.0,3.9537630266595194,3.6215999999999995,93.42,5.005199999999999,True,True,False,False
T1_06_30_2021_2,T1,constant,15.0,3.9537630266595194,3.6215999999999995,93.42,4.7052,True,True,False,False
T1_06_30_2021_2,T1,constant,20.0,3.9537630266595194,3.6215999999999995,93.42,4.4052,True,True,False,False
T1_07_01_2021,T1,constant,5.0,3.3470186875609254,3.3528,95.52,5.4312000000000005,True,True,False,False
T1_07_01_2021,T1,constant,10.0,3.3470186875609254,3.3528,95.52,5.1312,True,True,False,False
T1_07_01_2021,T1,constant,15.0,3.3470186875609254,3.3528,95.52,4.8312,True,True,False,False
T1_07_01_2021,T1,constant,20.0,3.3470186875609254,3.3528,95.52,4.5312,True,True,False,False
T2_03_29_2021,T2,constant,5.0,5.342838840227318,4.734,97.7,5.562,True,True,False,False
T2_03_29_2021,T2,constant,10.0,5.342838840227318,4.734,97.7,5.2620000000000005,False,True,False,True
T2_03_29_2021,T2,constant,15.0,5.342838840227318,4.734,97.7,4.962000000000001,False,True,False,True
T2_03_29_2021,T2,constant,20.0,5.342838840227318,4.734,97.7,4.662000000000001,False,False,False,False
T2_03_30_2021,T2,constant,5.0,4.774869261565878,4.2384,95.14,5.4084,True,True,False,False
T2_03_30_2021,T2,constant,10.0,4.774869261565878,4.2384,95.14,5.1084000000000005,True,True,False,False
T2_03_30_2021,T2,constant,15.0,4.774869261565878,4.2384,95.14,4.808400000000001,True,True,False,False
T2_03_30_2021,T2,constant,20.0,4.774869261565878,4.2384,95.14,4.5084,False,True,False,True
T2_04_26_2021,T2,constant,5.0,4.189748098705495,3.894,98.26,5.595600000000001,True,True,False,False
T2_04_26_2021,T2,constant,10.0,4.189748098705495,3.894,98.26,5.2956,True,True,False,False
T2_04_26_2021,T2,constant,15.0,4.189748098705495,3.894,98.26,4.9956000000000005,True,True,False,False
T2_04_26_2021,T2,constant,20.0,4.189748098705495,3.894,98.26,4.695600000000001,True,True,False,False
T3_04_22_2021_1,T3,constant,5.0,1.25568427341034,1.1243999999999996,97.74,5.564399999999999,True,True,False,False
T3_04_22_2021_1,T3,constant,10.0,1.25568427341034,1.1243999999999996,97.74,5.264399999999999,True,True,False,False
T3_04_22_2021_1,T3,constant,15.0,1.25568427341034,1.1243999999999996,97.74,4.9643999999999995,True,True,False,False
T3_04_22_2021_1,T3,constant,20.0,1.25568427341034,1.1243999999999996,97.74,4.6644,True,True,False,False
T3_04_22_2021_2,T3,constant,5.0,1.357046210581746,1.7783999999999998,78.88,4.432799999999999,True,True,False,False
T3_04_22_2021_2,T3,constant,10.0,1.357046210581746,1.7783999999999998,78.88,4.1328,True,True,False,False
T3_04_22_2021_2,T3,constant,15.0,1.357046210581746,1.7783999999999998,78.88,3.8327999999999998,True,True,False,False
T3_04_22_2021_2,T3,constant,20.0,1.357046210581746,1.7783999999999998,78.88,3.5328,True,True,False,False
T3_04_26_2021_1,T3,constant,5.0,1.263623547873341,1.4676000000000002,96.12,5.4672,True,True,False,False
T3_04_26_2021_1,T3,constant,10.0,1.263623547873341,1.4676000000000002,96.12,5.1672,True,True,False,False
T3_04_26_2021_1,T3,constant,15.0,1.263623547873341,1.4676000000000002,96.12,4.8672,True,True,False,False
T3_04_26_2021_1,T3,constant,20.0,1.263623547873341,1.4676000000000002,96.12,4.567200000000001,True,True,False,False
T3_04_26_2021_2,T3,constant,5.0,1.3810385416621864,1.5179999999999998,69.64,3.8784000000000005,True,True,False,False
T3_04_26_2021_2,T3,constant,10.0,1.3810385416621864,1.5179999999999998,69.64,3.5784000000000002,True,True,False,False
T3_04_26_2021_2,T3,constant,15.0,1.3810385416621864,1.5179999999999998,69.64,3.2784000000000004,True,True,False,False
T3_04_26_2021_2,T3,constant,20.0,1.3810385416621864,1.5179999999999998,69.64,2.9784,True,True,False,False
T3_05_25_2021_04,T3,constant,5.0,2.9177177855273713,2.9507999999999996,62.58,3.4548,True,True,False,False
T3_05_25_2021_04,T3,constant,10.0,2.9177177855273713,2.9507999999999996,62.58,3.1548000000000003,True,True,False,False
T3_05_25_2021_04,T3,constant,15.0,2.9177177855273713,2.9507999999999996,62.58,2.8548,False,False,False,False
T3_05_25_2021_04,T3,constant,20.0,2.9177177855273713,2.9507999999999996,62.58,2.5547999999999997,False,False,False,False
T3_05_25_2021_1,T3,constant,5.0,1.2183895160069755,1.4280000000000002,56.2,3.0720000000000005,True,True,False,False
T3_05_25_2021_1,T3,constant,10.0,1.2183895160069755,1.4280000000000002,56.2,2.7720000000000002,True,True,False,False
T3_05_25_2021_1,T3,constant,15.0,1.2183895160069755,1.4280000000000002,56.2,2.472,True,True,False,False
T3_05_25_2021_1,T3,constant,20.0,1.2183895160069755,1.4280000000000002,56.2,2.172,True,True,False,False
T3_05_25_2021_2,T3,constant,5.0,1.3685506267185332,1.6536000000000002,61.74,3.4044,True,True,False,False
T3_05_25_2021_2,T3,constant,10.0,1.3685506267185332,1.6536000000000002,61.74,3.1044,True,True,False,False
T3_05_25_2021_2,T3,constant,15.0,1.3685506267185332,1.6536000000000002,61.74,2.8044,True,True,False,False
T3_05_25_2021_2,T3,constant,20.0,1.3685506267185332,1.6536000000000002,61.74,2.5044,True,True,False,False
T3_05_25_2021_3,T3,constant,5.0,1.251385008788739,1.4436000000000002,62.54,3.4524,True,True,False,False
T3_05_25_2021_3,T3,constant,10.0,1.251385008788739,1.4436000000000002,62.54,3.1524,True,True,False,False
T3_05_25_2021_3,T3,constant,15.0,1.251385008788739,1.4436000000000002,62.54,2.8524000000000003,True,True,False,False
T3_05_25_2021_3,T3,constant,20.0,1.251385008788739,1.4436000000000002,62.54,2.5524,True,True,False,False
T3_05_31_2021,T3,constant,5.0,1.3742706479761726,1.8744000000000003,54.6,2.9760000000000004,True,True,False,False
T3_05_31_2021,T3,constant,10.0,1.3742706479761726,1.8744000000000003,54.6,2.676,True,True,False,False
T3_05_31_2021,T3,constant,15.0,1.3742706479761726,1.8744000000000003,54.6,2.3760000000000003,True,True,False,False
T3_05_31_2021,T3,constant,20.0,1.3742706479761726,1.8744000000000003,54.6,2.076,True,True,False,False
T3_06_07_2021,T3,constant,5.0,1.7431317668180977,1.7940000000000005,77.26,4.3356,True,True,False,False
T3_06_07_2021,T3,constant,10.0,1.7431317668180977,1.7940000000000005,77.26,4.0356000000000005,True,True,False,False
T3_06_07_2021,T3,constant,15.0,1.7431317668180977,1.7940000000000005,77.26,3.7356000000000007,True,True,False,False
T3_06_07_2021,T3,constant,20.0,1.7431317668180977,1.7940000000000005,77.26,3.4356000000000004,True,True,False,False
T1_03_29_2021,T1,physics,5.0,2.8719752680940425,4.3524,87.54,4.9524,True,True,False,False
T1_03_29_2021,T1,physics,10.0,2.8719752680940425,4.3524,87.54,4.6524,True,True,False,False
T1_03_29_2021,T1,physics,15.0,2.8719752680940425,4.3524,87.54,4.3524,True,True,False,False
T1_03_29_2021,T1,physics,20.0,2.8719752680940425,4.3524,87.54,4.0524000000000004,True,False,True,False
T1_06_30_2021_1,T1,physics,5.0,2.753227787393527,3.818400000000001,96.06,5.4636000000000005,True,True,False,False
T1_06_30_2021_1,T1,physics,10.0,2.753227787393527,3.818400000000001,96.06,5.1636,True,True,False,False
T1_06_30_2021_1,T1,physics,15.0,2.753227787393527,3.818400000000001,96.06,4.8636,True,True,False,False
T1_06_30_2021_1,T1,physics,20.0,2.753227787393527,3.818400000000001,96.06,4.5636,True,True,False,False
T1_06_30_2021_2,T1,physics,5.0,2.471605535958361,3.6215999999999995,93.42,5.3052,True,True,False,False
T1_06_30_2021_2,T1,physics,10.0,2.471605535958361,3.6215999999999995,93.42,5.005199999999999,True,True,False,False
T1_06_30_2021_2,T1,physics,15.0,2.471605535958361,3.6215999999999995,93.42,4.7052,True,True,False,False
T1_06_30_2021_2,T1,physics,20.0,2.471605535958361,3.6215999999999995,93.42,4.4052,True,True,False,False
T1_07_01_2021,T1,physics,5.0,2.2181726563141986,3.3528,95.52,5.4312000000000005,True,True,False,False
T1_07_01_2021,T1,physics,10.0,2.2181726563141986,3.3528,95.52,5.1312,True,True,False,False
T1_07_01_2021,T1,physics,15.0,2.2181726563141986,3.3528,95.52,4.8312,True,True,False,False
T1_07_01_2021,T1,physics,20.0,2.2181726563141986,3.3528,95.52,4.5312,True,True,False,False
T2_03_29_2021,T2,physics,5.0,3.627542711947633,4.734,97.7,5.562,True,True,False,False
T2_03_29_2021,T2,physics,10.0,3.627542711947633,4.734,97.7,5.2620000000000005,True,True,False,False
T2_03_29_2021,T2,physics,15.0,3.627542711947633,4.734,97.7,4.962000000000001,True,True,False,False
T2_03_29_2021,T2,physics,20.0,3.627542711947633,4.734,97.7,4.662000000000001,True,False,True,False
T2_03_30_2021,T2,physics,5.0,3.237291999386653,4.2384,95.14,5.4084,True,True,False,False
T2_03_30_2021,T2,physics,10.0,3.237291999386653,4.2384,95.14,5.1084000000000005,True,True,False,False
T2_03_30_2021,T2,physics,15.0,3.237291999386653,4.2384,95.14,4.808400000000001,True,True,False,False
T2_03_30_2021,T2,physics,20.0,3.237291999386653,4.2384,95.14,4.5084,True,True,False,False
T2_04_26_2021,T2,physics,5.0,2.6992769299991366,3.894,98.26,5.595600000000001,True,True,False,False
T2_04_26_2021,T2,physics,10.0,2.6992769299991366,3.894,98.26,5.2956,True,True,False,False
T2_04_26_2021,T2,physics,15.0,2.6992769299991366,3.894,98.26,4.9956000000000005,True,True,False,False
T2_04_26_2021,T2,physics,20.0,2.6992769299991366,3.894,98.26,4.695600000000001,True,True,False,False
T3_04_22_2021_1,T3,physics,5.0,0.8671254750330046,1.1243999999999996,97.74,5.564399999999999,True,True,False,False
T3_04_22_2021_1,T3,physics,10.0,0.8671254750330046,1.1243999999999996,97.74,5.264399999999999,True,True,False,False
T3_04_22_2021_1,T3,physics,15.0,0.8671254750330046,1.1243999999999996,97.74,4.9643999999999995,True,True,False,False
T3_04_22_2021_1,T3,physics,20.0,0.8671254750330046,1.1243999999999996,97.74,4.6644,True,True,False,False
T3_04_22_2021_2,T3,physics,5.0,1.130190430330537,1.7783999999999998,78.88,4.432799999999999,True,True,False,False
T3_04_22_2021_2,T3,physics,10.0,1.130190430330537,1.7783999999999998,78.88,4.1328,True,True,False,False
T3_04_22_2021_2,T3,physics,15.0,1.130190430330537,1.7783999999999998,78.88,3.8327999999999998,True,True,False,False
T3_04_22_2021_2,T3,physics,20.0,1.130190430330537,1.7783999999999998,78.88,3.5328,True,True,False,False
T3_04_26_2021_1,T3,physics,5.0,0.8865242264684327,1.4676000000000002,96.12,5.4672,True,True,False,False
T3_04_26_2021_1,T3,physics,10.0,0.8865242264684327,1.4676000000000002,96.12,5.1672,True,True,False,False
T3_04_26_2021_1,T3,physics,15.0,0.8865242264684327,1.4676000000000002,96.12,4.8672,True,True,False,False
T3_04_26_2021_1,T3,physics,20.0,0.8865242264684327,1.4676000000000002,96.12,4.567200000000001,True,True,False,False
T3_04_26_2021_2,T3,physics,5.0,1.1209338597467944,1.5179999999999998,69.64,3.8784000000000005,True,True,False,False
T3_04_26_2021_2,T3,physics,10.0,1.1209338597467944,1.5179999999999998,69.64,3.5784000000000002,True,True,False,False
T3_04_26_2021_2,T3,physics,15.0,1.1209338597467944,1.5179999999999998,69.64,3.2784000000000004,True,True,False,False
T3_04_26_2021_2,T3,physics,20.0,1.1209338597467944,1.5179999999999998,69.64,2.9784,True,True,False,False
T3_05_25_2021_04,T3,physics,5.0,2.314616466229739,2.9507999999999996,62.58,3.4548,True,True,False,False
T3_05_25_2021_04,T3,physics,10.0,2.314616466229739,2.9507999999999996,62.58,3.1548000000000003,True,True,False,False
T3_05_25_2021_04,T3,physics,15.0,2.314616466229739,2.9507999999999996,62.58,2.8548,True,False,True,False
T3_05_25_2021_04,T3,physics,20.0,2.314616466229739,2.9507999999999996,62.58,2.5547999999999997,True,False,True,False
T3_05_25_2021_1,T3,physics,5.0,0.9020556227276204,1.4280000000000002,56.2,3.0720000000000005,True,True,False,False
T3_05_25_2021_1,T3,physics,10.0,0.9020556227276204,1.4280000000000002,56.2,2.7720000000000002,True,True,False,False
T3_05_25_2021_1,T3,physics,15.0,0.9020556227276204,1.4280000000000002,56.2,2.472,True,True,False,False
T3_05_25_2021_1,T3,physics,20.0,0.9020556227276204,1.4280000000000002,56.2,2.172,True,True,False,False
T3_05_25_2021_2,T3,physics,5.0,1.102647741073931,1.6536000000000002,61.74,3.4044,True,True,False,False
T3_05_25_2021_2,T3,physics,10.0,1.102647741073931,1.6536000000000002,61.74,3.1044,True,True,False,False
T3_05_25_2021_2,T3,physics,15.0,1.102647741073931,1.6536000000000002,61.74,2.8044,True,True,False,False
T3_05_25_2021_2,T3,physics,20.0,1.102647741073931,1.6536000000000002,61.74,2.5044,True,True,False,False
T3_05_25_2021_3,T3,physics,5.0,1.010539647317367,1.4436000000000002,62.54,3.4524,True,True,False,False
T3_05_25_2021_3,T3,physics,10.0,1.010539647317367,1.4436000000000002,62.54,3.1524,True,True,False,False
T3_05_25_2021_3,T3,physics,15.0,1.010539647317367,1.4436000000000002,62.54,2.8524000000000003,True,True,False,False
T3_05_25_2021_3,T3,physics,20.0,1.010539647317367,1.4436000000000002,62.54,2.5524,True,True,False,False
T3_05_31_2021,T3,physics,5.0,1.1407309491245117,1.8744000000000003,54.6,2.9760000000000004,True,True,False,False
T3_05_31_2021,T3,physics,10.0,1.1407309491245117,1.8744000000000003,54.6,2.676,True,True,False,False
T3_05_31_2021,T3,physics,15.0,1.1407309491245117,1.8744000000000003,54.6,2.3760000000000003,True,True,False,False
T3_05_31_2021,T3,physics,20.0,1.1407309491245117,1.8744000000000003,54.6,2.076,True,True,False,False
T3_06_07_2021,T3,physics,5.0,1.4375299808015238,1.7940000000000005,77.26,4.3356,True,True,False,False
T3_06_07_2021,T3,physics,10.0,1.4375299808015238,1.7940000000000005,77.26,4.0356000000000005,True,True,False,False
T3_06_07_2021,T3,physics,15.0,1.4375299808015238,1.7940000000000005,77.26,3.7356000000000007,True,True,False,False
T3_06_07_2021,T3,physics,20.0,1.4375299808015238,1.7940000000000005,77.26,3.4356000000000004,True,True,False,False
T1_03_29_2021,T1,pinn,5.0,3.7631621741353434,4.3524,87.54,4.9524,True,True,False,False
T1_03_29_2021,T1,pinn,10.0,3.7631621741353434,4.3524,87.54,4.6524,True,True,False,False
T1_03_29_2021,T1,pinn,15.0,3.7631621741353434,4.3524,87.54,4.3524,True,True,False,False
T1_03_29_2021,T1,pinn,20.0,3.7631621741353434,4.3524,87.54,4.0524000000000004,True,False,True,False
T1_06_30_2021_1,T1,pinn,5.0,4.020039368190423,3.818400000000001,96.06,5.4636000000000005,True,True,False,False
T1_06_30_2021_1,T1,pinn,10.0,4.020039368190423,3.818400000000001,96.06,5.1636,True,True,False,False
T1_06_30_2021_1,T1,pinn,15.0,4.020039368190423,3.818400000000001,96.06,4.8636,True,True,False,False
T1_06_30_2021_1,T1,pinn,20.0,4.020039368190423,3.818400000000001,96.06,4.5636,True,True,False,False
T1_06_30_2021_2,T1,pinn,5.0,3.982698867256167,3.6215999999999995,93.42,5.3052,True,True,False,False
T1_06_30_2021_2,T1,pinn,10.0,3.982698867256167,3.6215999999999995,93.42,5.005199999999999,True,True,False,False
T1_06_30_2021_2,T1,pinn,15.0,3.982698867256167,3.6215999999999995,93.42,4.7052,True,True,False,False
T1_06_30_2021_2,T1,pinn,20.0,3.982698867256167,3.6215999999999995,93.42,4.4052,True,True,False,False
T1_07_01_2021,T1,pinn,5.0,2.9501472820664105,3.3528,95.52,5.4312000000000005,True,True,False,False
T1_07_01_2021,T1,pinn,10.0,2.9501472820664105,3.3528,95.52,5.1312,True,True,False,False
T1_07_01_2021,T1,pinn,15.0,2.9501472820664105,3.3528,95.52,4.8312,True,True,False,False
T1_07_01_2021,T1,pinn,20.0,2.9501472820664105,3.3528,95.52,4.5312,True,True,False,False
T2_03_29_2021,T2,pinn,5.0,4.711666211770692,4.734,97.7,5.562,True,True,False,False
T2_03_29_2021,T2,pinn,10.0,4.711666211770692,4.734,97.7,5.2620000000000005,True,True,False,False
T2_03_29_2021,T2,pinn,15.0,4.711666211770692,4.734,97.7,4.962000000000001,True,True,False,False
T2_03_29_2021,T2,pinn,20.0,4.711666211770692,4.734,97.7,4.662000000000001,False,False,False,False
T2_03_30_2021,T2,pinn,5.0,4.351684325990888,4.2384,95.14,5.4084,True,True,False,False
T2_03_30_2021,T2,pinn,10.0,4.351684325990888,4.2384,95.14,5.1084000000000005,True,True,False,False
T2_03_30_2021,T2,pinn,15.0,4.351684325990888,4.2384,95.14,4.808400000000001,True,True,False,False
T2_03_30_2021,T2,pinn,20.0,4.351684325990888,4.2384,95.14,4.5084,True,True,False,False
T2_04_26_2021,T2,pinn,5.0,4.676436308288463,3.894,98.26,5.595600000000001,True,True,False,False
T2_04_26_2021,T2,pinn,10.0,4.676436308288463,3.894,98.26,5.2956,True,True,False,False
T2_04_26_2021,T2,pinn,15.0,4.676436308288463,3.894,98.26,4.9956000000000005,True,True,False,False
T2_04_26_2021,T2,pinn,20.0,4.676436308288463,3.894,98.26,4.695600000000001,True,True,False,False
T3_04_22_2021_1,T3,pinn,5.0,1.2177045215997433,1.1243999999999996,97.74,5.564399999999999,True,True,False,False
T3_04_22_2021_1,T3,pinn,10.0,1.2177045215997433,1.1243999999999996,97.74,5.264399999999999,True,True,False,False
T3_04_22_2021_1,T3,pinn,15.0,1.2177045215997433,1.1243999999999996,97.74,4.9643999999999995,True,True,False,False
T3_04_22_2021_1,T3,pinn,20.0,1.2177045215997433,1.1243999999999996,97.74,4.6644,True,True,False,False
T3_04_22_2021_2,T3,pinn,5.0,1.4703315507241148,1.7783999999999998,78.88,4.432799999999999,True,True,False,False
T3_04_22_2021_2,T3,pinn,10.0,1.4703315507241148,1.7783999999999998,78.88,4.1328,True,True,False,False
T3_04_22_2021_2,T3,pinn,15.0,1.4703315507241148,1.7783999999999998,78.88,3.8327999999999998,True,True,False,False
T3_04_22_2021_2,T3,pinn,20.0,1.4703315507241148,1.7783999999999998,78.88,3.5328,True,True,False,False
T3_04_26_2021_1,T3,pinn,5.0,1.2035919038604739,1.4676000000000002,96.12,5.4672,True,True,False,False
T3_04_26_2021_1,T3,pinn,10.0,1.2035919038604739,1.4676000000000002,96.12,5.1672,True,True,False,False
T3_04_26_2021_1,T3,pinn,15.0,1.2035919038604739,1.4676000000000002,96.12,4.8672,True,True,False,False
T3_04_26_2021_1,T3,pinn,20.0,1.2035919038604739,1.4676000000000002,96.12,4.567200000000001,True,True,False,False
T3_04_26_2021_2,T3,pinn,5.0,1.440403791468901,1.5179999999999998,69.64,3.8784000000000005,True,True,False,False
T3_04_26_2021_2,T3,pinn,10.0,1.440403791468901,1.5179999999999998,69.64,3.5784000000000002,True,True,False,False
T3_04_26_2021_2,T3,pinn,15.0,1.440403791468901,1.5179999999999998,69.64,3.2784000000000004,True,True,False,False
T3_04_26_2021_2,T3,pinn,20.0,1.440403791468901,1.5179999999999998,69.64,2.9784,True,True,False,False
T3_05_25_2021_04,T3,pinn,5.0,3.202379707040403,2.9507999999999996,62.58,3.4548,True,True,False,False
T3_05_25_2021_04,T3,pinn,10.0,3.202379707040403,2.9507999999999996,62.58,3.1548000000000003,False,True,False,True
T3_05_25_2021_04,T3,pinn,15.0,3.202379707040403,2.9507999999999996,62.58,2.8548,False,False,False,False
T3_05_25_2021_04,T3,pinn,20.0,3.202379707040403,2.9507999999999996,62.58,2.5547999999999997,False,False,False,False
T3_05_25_2021_1,T3,pinn,5.0,1.2211494782884362,1.4280000000000002,56.2,3.0720000000000005,True,True,False,False
T3_05_25_2021_1,T3,pinn,10.0,1.2211494782884362,1.4280000000000002,56.2,2.7720000000000002,True,True,False,False
T3_05_25_2021_1,T3,pinn,15.0,1.2211494782884362,1.4280000000000002,56.2,2.472,True,True,False,False
T3_05_25_2021_1,T3,pinn,20.0,1.2211494782884362,1.4280000000000002,56.2,2.172,True,True,False,False
T3_05_25_2021_2,T3,pinn,5.0,1.4424035295264588,1.6536000000000002,61.74,3.4044,True,True,False,False
T3_05_25_2021_2,T3,pinn,10.0,1.4424035295264588,1.6536000000000002,61.74,3.1044,True,True,False,False
