trip_id,trajectory,observed_energy_kwh,physics_energy_kwh,signed_error_kwh,absolute_error_kwh
T1_03_29_2021,T1,4.3524,2.871975268094043,-1.4804247319059574,1.4804247319059574
T1_06_30_2021_1,T1,3.8184000000000005,2.753227787393527,-1.0651722126064733,1.0651722126064733
T1_06_30_2021_2,T1,3.6215999999999995,2.471605535958361,-1.1499944640416384,1.1499944640416384
T1_07_01_2021,T1,3.3528,2.2181726563141986,-1.1346273436858012,1.1346273436858012
T2_03_29_2021,T2,4.734,3.6275427119476333,-1.1064572880523666,1.1064572880523666
T2_03_30_2021,T2,4.2384,3.237291999386653,-1.0011080006133475,1.0011080006133475
T2_04_26_2021,T2,3.894,2.6992769299991366,-1.1947230700008635,1.1947230700008635
T3_04_22_2021_1,T3,1.1243999999999996,0.8671254750330046,-0.257274524966995,0.257274524966995
T3_04_22_2021_2,T3,1.7783999999999998,1.130190430330537,-0.6482095696694627,0.6482095696694627
T3_04_26_2021_1,T3,1.4676000000000005,0.8865242264684328,-0.5810757735315677,0.5810757735315677
T3_04_26_2021_2,T3,1.5179999999999998,1.1209338597467944,-0.3970661402532054,0.3970661402532054
T3_05_25_2021_04,T3,2.9507999999999996,2.314616466229739,-0.6361835337702608,0.6361835337702608
T3_05_25_2021_1,T3,1.4280000000000002,0.9020556227276204,-0.5259443772723797,0.5259443772723797
T3_05_25_2021_2,T3,1.6536000000000002,1.102647741073931,-0.5509522589260691,0.5509522589260691
T3_05_25_2021_3,T3,1.4436000000000002,1.0105396473173667,-0.43306035268263354,0.43306035268263354
T3_05_31_2021,T3,1.8744,1.1407309491245115,-0.7336690508754886,0.7336690508754886
T3_06_07_2021,T3,1.7940000000000003,1.4375299808015236,-0.35647001919847665,0.35647001919847665
