method,reserve_soc_pct,false_safe,overly_conservative,model_feasible,observed_feasible
constant,5.0,0.0,0.0,1.0,1.0
constant,10.0,0.0,0.0588235294117647,0.9411764705882352,1.0
constant,15.0,0.0,0.1176470588235294,0.8235294117647058,0.9411764705882352
constant,20.0,0.0,0.0588235294117647,0.7647058823529411,0.8235294117647058
physics,5.0,0.0,0.0,1.0,1.0
physics,10.0,0.0,0.0,1.0,1.0
physics,15.0,0.0588235294117647,0.0,1.0,0.9411764705882352
physics,20.0,0.1764705882352941,0.0,1.0,0.8235294117647058
pinn,5.0,0.0,0.0,1.0,1.0
pinn,10.0,0.0,0.0588235294117647,0.9411764705882352,1.0
pinn,15.0,0.0,0.0,0.9411764705882352,0.9411764705882352
pinn,20.0,0.0588235294117647,0.0,0.8823529411764706,0.8235294117647058
