parameter,value,nominal,physics_mae_kwh,physics_bias_kwh,delta_mae_vs_nominal,provenance
mass_kg,494.1,549.0,0.8774043039162595,-0.8774043039162595,0.097850614971966,modelling assumption; not a HELECAR-D measurement
mass_kg,549.0,549.0,0.7795536889442934,-0.7795536889442934,0.0,modelling assumption; not a HELECAR-D measurement
mass_kg,603.9000000000001,549.0,0.681313520845351,-0.681313520845351,-0.0982401680989424,modelling assumption; not a HELECAR-D measurement
Crr,0.008,0.012,0.9626664444387768,-0.9626664444387768,0.1831127554944833,modelling assumption; not a HELECAR-D measurement
Crr,0.012,0.012,0.7795536889442934,-0.7795536889442934,0.0,modelling assumption; not a HELECAR-D measurement
Crr,0.016,0.012,0.5936491463569034,-0.5936491463569034,-0.1859045425873901,modelling assumption; not a HELECAR-D measurement
cda_m2,0.5,0.64,0.933326593963178,-0.933326593963178,0.1537729050188845,modelling assumption; not a HELECAR-D measurement
cda_m2,0.64,0.64,0.7795536889442934,-0.7795536889442934,0.0,modelling assumption; not a HELECAR-D measurement
cda_m2,0.8,0.64,0.6016300093544489,-0.6016300093544489,-0.1779236795898445,modelling assumption; not a HELECAR-D measurement
eta_drive,0.75,0.85,0.5367085061106897,-0.5367085061106897,-0.2428451828336038,modelling assumption; not a HELECAR-D measurement
eta_drive,0.85,0.85,0.7795536889442934,-0.7795536889442934,0.0,modelling assumption; not a HELECAR-D measurement
eta_drive,0.95,0.85,0.9712735701287172,-0.9712735701287172,0.1917198811844238,modelling assumption; not a HELECAR-D measurement
eta_regen,0.2,0.4,0.712769500349401,-0.712769500349401,-0.0667841885948924,modelling assumption; not a HELECAR-D measurement
eta_regen,0.4,0.4,0.7795536889442934,-0.7795536889442934,0.0,modelling assumption; not a HELECAR-D measurement
eta_regen,0.6,0.4,0.8463378775391857,-0.8463378775391857,0.0667841885948922,modelling assumption; not a HELECAR-D measurement
auxiliary_power_kw,0.1,0.2,0.8707268915586726,-0.8707268915586726,0.0911732026143791,modelling assumption; not a HELECAR-D measurement
auxiliary_power_kw,0.2,0.2,0.7795536889442934,-0.7795536889442934,0.0,modelling assumption; not a HELECAR-D measurement
auxiliary_power_kw,0.4,0.2,0.597207283715535,-0.597207283715535,-0.1823464052287584,modelling assumption; not a HELECAR-D measurement
