n_train,method,MAE_kWh,uncertainty,number_of_runs
3,Regularized Regression,1.3246406963724289,1.4391751511401418,9
3,Data-Driven MLP,0.7103034358258601,0.1500635817200531,9
3,PINN,0.4392401487849165,0.11528802044206667,9
5,Regularized Regression,1.7124003280097848,2.8374212090805444,9
5,Data-Driven MLP,0.696830931701371,0.17404632444624382,9
5,PINN,0.34365436018453477,0.048213888747794253,9
8,Regularized Regression,1.1708520712945174,1.9316047371698883,9
8,Data-Driven MLP,0.43423507069625455,0.08044566763495857,9
8,PINN,0.2974569781987723,0.06480742380698733,9
12,Regularized Regression,0.22098878675946698,0.03165630265047529,9
12,Data-Driven MLP,0.4593675508844567,0.12229447930450567,9
12,PINN,0.3052807291443091,0.054588113817753164,9
16,Regularized Regression,0.16729987446409744,0.0,3
16,Data-Driven MLP,0.4751418778709078,0.02625424277169093,3
16,PINN,0.2949142983914842,0.04814996007385969,3
