n_train,Method,mean_MAE_kWh,std_MAE_across_runs,trip_MAE_CI95_low,trip_MAE_CI95_high,n_subsets,n_seeds,n_heldout_trips,n_evaluations
0,Physics,0.7795536889442933,0.0,0.6141992053408494,0.9484649888367294,1,1,17,17
3,ElasticNet,0.37386693998649223,0.06780192758170082,0.29325117736835754,0.45710109774551877,3,1,17,51
5,ElasticNet,0.3142614892888069,0.03005348543824355,0.24810602524568573,0.3949327642302769,3,1,17,51
8,ElasticNet,1.0060354315000848,1.0516451202379657,0.32979335146116995,2.2526711267372415,3,1,17,51
12,ElasticNet,0.2254002662177206,0.0315041048946144,0.15550795370831383,0.3051495739317066,3,1,17,51
16,ElasticNet,0.16729987446409744,0.0,0.11259358866201574,0.23194936751492162,1,1,17,17
3,WeakMLP,0.5751015682227472,0.03488605248528518,0.3839876373174442,0.8405204621289278,3,1,17,51
5,WeakMLP,0.7560399676104775,0.127420330913839,0.4460673085643348,1.1490698457638024,3,1,17,51
8,WeakMLP,0.4311718430628704,0.04902545789982654,0.2568482786382907,0.6418441888489317,3,1,17,51
12,WeakMLP,0.3475103210617254,0.04647505175651532,0.24187634797402782,0.4685985058040808,3,1,17,51
16,WeakMLP,0.4448499787586188,0.0,0.2856151135477247,0.6395470087000358,1,1,17,17
3,PINN,0.3170120495420347,0.038338333126316626,0.24390284430893117,0.3964754166989045,3,1,17,51
5,PINN,0.3399242999575372,0.04046271328833007,0.25020154056564314,0.4478683195566185,3,1,17,51
8,PINN,0.33267838058824645,0.03815941368004561,0.21801010710771893,0.47762637517586715,3,1,17,51
12,PINN,0.2657137263839284,0.013459925119254798,0.19994603555715199,0.33779924808035966,3,1,17,51
16,PINN,0.34992910197427557,0.0,0.22446451515498522,0.5023105558508947,1,1,17,17
