Method,reserve_SoC_pct,false_safe_fraction,overly_conservative_fraction,predicted_feasible_fraction,observed_feasible_fraction,n_trips
Constant,5.0,0.0,0.0,1.0,1.0,17
Physics,5.0,0.0,0.0,1.0,1.0,17
PINN,5.0,0.0,0.0,1.0,1.0,17
Constant,10.0,0.0,0.058823529411764705,0.9411764705882353,1.0,17
Physics,10.0,0.0,0.0,1.0,1.0,17
PINN,10.0,0.0,0.058823529411764705,0.9411764705882353,1.0,17
Constant,15.0,0.0,0.11764705882352941,0.8235294117647058,0.9411764705882353,17
Physics,15.0,0.058823529411764705,0.0,1.0,0.9411764705882353,17
PINN,15.0,0.0,0.0,0.9411764705882353,0.9411764705882353,17
Constant,20.0,0.0,0.058823529411764705,0.7647058823529411,0.8235294117647058,17
Physics,20.0,0.17647058823529413,0.0,1.0,0.8235294117647058,17
PINN,20.0,0.058823529411764705,0.0,0.8823529411764706,0.8235294117647058,17
